Player_Names,Player_valuation,Age,Height,Position,Foot,Y_Contract_Left,Actual_Club,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Goals.1,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,Penalty.Kicks.Made.1,Penalty.Kicks.Attempted.1,xG.1,npxG.1,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Assists.1,xA.1,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Passes.Attempted.1,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Completed.1,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Yellow.Cards.1,Red.Cards.1,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Crosses.1,Interceptions.1,Tackles.Won.1,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won
Eric García,18000000,21,1.82,Centre-Back,right,4.32876712328767,FC Barcelona,La Liga,0.0,0.0,0.0,0.0,0.0,0.34,0.1,0.01,0.01,0.0,0.02,0.0,0.34,0.1,28.6,0.0,0.0,19.5,0.0,0.0,0.0,0.01,0.01,0.04,-0.01,-0.01,70.23,75.44,93.1,1517.92,461.3,18.9,19.82,95.3,39.06,41.1,95.0,12.08,13.83,87.3,0.0,0.0,0.19,7.21,0.19,0.0,5.41,75.44,73.3,2.14,1.22,0.05,4.72,1.9,0.0,0.0,0.0,0.0,0.0,65.94,3.75,5.75,9.94,61.75,1.8,0.83,0.19,70.23,0.1,0.58,0.93,0.49,0.93,0.88,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,1.27,0.78,0.78,0.49,0.0,0.44,1.31,33.3,0.88,10.81,3.46,32.0,5.31,4.92,0.58,1.61,0.68,0.0,0.93,2.0,3.26,1.8,0.05,82.69,8.04,34.82,50.75,3.51,0.54,80.6,0.1,0.1,100.0,0.1,0.0,61.07,366.87,221.15,6.04,1.02,0.05,0.24,0.15,66.77,65.89,98.7,0.19,0.34,0.1,0.05,1.51,0.44,0.05,0.0,2.0,0.78,0.0,0.0,0.0,6.87,1.51,0.97,60.8
Eric Maxim Choupo-Moting,3500000,32,1.91,Centre-Forward,right,1.32602739726027,Bayern Munich,Bundesliga,1.01,0.1,1.01,0.0,0.0,0.1,0.0,0.59,0.59,0.14,0.72,1.01,3.44,2.22,64.7,0.29,0.45,11.0,0.0,0.0,0.0,0.59,0.59,0.18,0.42,0.42,19.42,24.88,78.0,277.38,51.98,11.73,13.85,84.7,6.37,7.79,81.8,0.51,1.01,50.0,0.1,0.14,1.42,1.01,0.71,0.0,1.72,24.88,24.07,0.81,0.1,0.1,8.29,0.0,0.3,0.0,0.0,0.0,0.0,18.3,4.55,2.02,4.65,16.79,1.01,0.1,1.01,19.42,0.1,0.3,1.11,1.21,3.03,2.22,0.0,0.4,0.3,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,1.82,1.11,0.4,0.81,0.61,0.1,0.81,12.5,0.71,16.69,5.26,31.5,1.31,7.28,8.09,0.71,0.0,0.0,0.71,0.4,2.22,0.4,0.0,37.92,0.71,2.63,16.08,21.34,8.19,37.21,2.22,3.03,73.3,2.43,0.2,27.51,100.52,43.79,2.93,0.91,1.01,2.63,1.92,46.72,27.91,59.7,9.2,0.1,0.0,0.0,1.52,1.62,0.91,0.3,0.4,1.11,0.0,0.0,0.0,5.26,2.12,2.83,42.9
Erick Pulgar,8500000,28,1.87,Defensive Midfield,right,0.326027397260274,Galatasaray A.S.,Süper Lig,0.07,0.26,0.07,0.0,0.0,0.46,0.0,0.03,0.03,0.14,0.17,0.07,0.73,0.26,36.4,0.09,0.25,25.5,0.13,0.0,0.0,0.03,0.03,0.04,0.04,0.04,38.34,46.12,83.1,772.13,224.27,13.72,15.64,87.8,18.67,19.93,93.7,5.54,9.44,58.7,0.26,0.14,1.45,2.71,0.46,0.2,2.57,46.12,39.66,6.47,4.29,0.0,7.39,1.98,0.92,1.58,0.4,0.86,0.07,31.54,4.88,9.7,3.37,39.79,1.45,0.0,0.13,38.34,0.07,0.46,1.06,0.99,2.11,1.25,0.73,0.07,0.07,0.0,0.0,0.4,0.2,0.13,0.0,0.07,0.0,0.0,1.78,0.99,0.92,0.79,0.07,0.73,1.98,36.7,1.25,13.66,3.63,26.6,5.81,6.33,1.52,1.65,0.53,0.0,1.12,1.72,3.5,1.85,0.07,54.63,3.23,13.06,33.72,9.9,0.0,48.3,0.66,0.79,83.3,0.73,0.0,31.28,135.4,56.94,2.44,0.59,0.0,0.53,0.33,32.13,30.88,96.1,0.2,0.46,0.0,0.0,1.12,1.12,0.0,0.92,1.72,0.99,0.0,0.07,0.0,9.11,1.58,1.06,60.0
Erik Durm,2000000,29,1.83,Right-Back,right,1.32602739726027,Eintracht Frankfurt,Bundesliga,0.09,0.18,0.09,0.0,0.0,0.09,0.0,0.04,0.04,0.08,0.12,0.09,0.62,0.18,28.6,0.14,0.5,22.9,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.04,34.24,48.29,70.9,644.32,254.61,13.61,15.21,89.5,16.45,20.9,78.7,3.74,9.96,37.5,0.18,0.08,0.44,2.13,0.8,0.09,3.91,48.29,38.95,9.34,0.27,0.0,5.78,0.98,2.22,0.0,0.0,0.0,0.0,25.79,9.69,12.81,8.54,27.66,2.13,9.07,0.27,34.24,0.36,1.07,1.78,1.78,0.98,0.89,0.0,0.09,0.0,0.0,0.0,0.36,0.27,0.0,0.09,0.0,0.0,0.0,2.22,1.16,0.71,1.16,0.36,1.51,2.93,51.5,1.42,14.5,5.07,35.0,4.09,6.76,3.65,1.78,0.36,0.0,1.42,1.51,3.74,2.22,0.0,58.16,3.02,16.45,31.48,14.76,1.16,48.91,0.62,1.16,53.8,0.8,0.0,32.73,195.12,105.83,4.8,1.51,0.27,0.89,1.07,37.09,32.46,87.5,2.31,0.09,0.0,0.0,0.62,0.98,0.0,2.22,1.51,1.16,0.0,0.0,0.0,8.27,0.89,1.16,43.5
Erik Expósito,2000000,25,1.9,Centre-Forward,left,2.32876712328767,Slask Wroclaw,La Liga,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.21,0.21,0.04,0.25,0.19,1.93,0.39,20.0,0.1,0.5,13.3,0.0,0.0,0.0,0.21,0.21,0.11,-0.02,-0.02,12.14,18.31,66.3,198.89,54.93,6.75,9.64,70.0,4.43,6.75,65.7,0.96,1.16,83.3,0.0,0.04,0.58,1.35,1.16,0.19,2.31,18.31,17.34,0.96,0.0,0.0,4.24,0.19,0.58,0.0,0.0,0.0,0.0,9.64,3.28,5.4,9.83,2.51,3.66,0.0,0.0,12.14,0.58,0.58,0.39,0.58,1.93,1.35,0.0,0.0,0.0,0.39,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.19,0.19,1.93,10.0,1.73,19.08,4.63,24.2,0.96,6.55,11.56,0.96,0.0,0.0,0.96,0.39,0.58,0.77,0.0,29.1,0.77,1.54,11.76,17.54,5.2,28.14,1.16,1.54,75.0,1.16,0.0,17.54,72.46,25.25,1.35,0.58,0.19,3.85,0.96,39.51,21.01,53.2,10.99,0.0,0.0,0.0,1.35,0.96,0.39,0.58,0.39,0.0,0.0,0.0,0.0,2.7,2.7,1.93,58.3
Érik Lamela,20000000,30,1.84,Right Winger,left,2.32876712328767,Sevilla FC,La Liga,0.43,0.17,0.43,0.0,0.0,0.69,0.09,0.27,0.27,0.12,0.39,0.43,2.33,1.04,44.4,0.19,0.42,15.4,0.0,0.0,0.0,0.27,0.27,0.11,0.16,0.16,36.33,43.66,83.2,587.63,124.6,19.59,22.18,88.3,12.94,14.84,87.2,2.85,4.31,66.0,0.17,0.12,1.55,1.9,1.64,0.0,4.31,43.66,41.76,1.9,0.69,0.17,11.22,0.95,1.29,0.95,0.78,0.0,0.09,34.0,5.09,4.57,38.23,3.97,0.78,0.09,0.09,36.33,0.09,0.6,1.55,1.29,3.19,2.33,0.26,0.09,0.09,0.35,0.09,0.43,0.26,0.0,0.0,0.09,0.09,0.0,3.71,2.42,1.38,1.9,0.43,0.78,1.9,40.9,1.12,23.47,7.85,33.5,4.57,11.99,6.9,1.64,0.17,0.0,1.47,0.6,4.31,0.35,0.0,60.23,0.52,8.28,29.51,27.87,4.66,58.59,1.81,3.28,55.3,2.33,0.09,44.87,275.7,149.97,7.94,2.93,0.86,1.98,3.62,57.38,44.27,77.1,8.46,0.69,0.09,0.09,2.85,2.42,0.35,1.29,0.6,2.42,0.09,0.0,0.0,6.82,0.86,1.64,34.5
Erik Pieters,1000000,33,1.83,Left-Back,left,0.326027397260274,Burnley FC,Premier League,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.02,0.02,0.02,0.05,0.0,0.76,0.09,12.5,0.0,0.0,25.0,0.0,0.0,0.0,0.02,0.02,0.03,-0.02,-0.02,31.51,43.91,71.8,544.54,224.01,14.95,17.98,83.2,13.25,15.8,83.8,2.74,8.23,33.3,0.0,0.02,0.19,2.46,0.28,0.09,2.56,43.91,34.16,9.75,0.28,0.0,6.44,0.66,1.04,0.0,0.0,0.0,0.0,19.5,12.4,12.02,28.49,2.56,2.56,9.46,0.09,31.51,0.28,1.04,1.51,1.51,1.23,0.85,0.28,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.09,0.0,3.5,2.18,2.65,0.76,0.09,1.99,3.79,52.5,1.8,16.56,4.92,29.7,8.61,6.62,1.32,3.03,0.95,0.09,2.08,2.46,5.96,3.6,0.09,58.01,6.34,20.06,28.2,12.78,0.57,48.36,0.38,0.66,57.1,0.38,0.0,25.74,121.8,73.91,2.56,1.23,0.28,0.76,0.38,26.03,24.51,94.2,0.66,0.19,0.0,0.0,2.08,1.23,0.0,1.04,2.46,2.18,0.09,0.0,0.0,8.99,1.42,1.32,51.7
Erik Thommy,1800000,27,1.75,Left Midfield,right,0.326027397260274,VfB Stuttgart,Bundesliga,0.24,0.16,0.24,0.0,0.0,0.12,0.0,0.14,0.14,0.16,0.3,0.24,2.43,0.84,34.4,0.1,0.29,22.0,0.08,0.0,0.0,0.14,0.14,0.06,0.1,0.1,25.7,36.26,70.9,472.23,138.96,11.63,14.02,83.0,9.76,12.23,79.8,3.43,7.21,47.5,0.16,0.16,1.59,1.75,1.08,0.56,2.51,36.26,31.71,4.54,1.31,0.12,7.57,1.87,2.91,1.99,0.36,1.08,0.2,20.84,7.13,8.29,7.33,25.5,1.43,1.24,0.4,25.7,0.12,1.0,0.76,2.03,3.55,1.67,0.68,0.52,0.16,0.48,0.04,0.36,0.12,0.12,0.08,0.0,0.04,0.0,1.55,1.08,0.68,0.56,0.32,0.56,1.55,35.9,1.0,19.12,5.74,30.0,5.66,8.65,4.82,1.63,0.08,0.0,1.55,0.8,2.35,0.8,0.04,49.16,0.84,8.13,21.04,24.42,2.87,44.74,1.87,2.75,68.1,1.95,0.0,35.34,229.28,143.9,7.01,2.47,1.04,1.67,2.11,42.27,32.51,76.9,6.18,0.12,0.0,0.0,0.8,2.51,0.28,2.91,0.8,1.08,0.04,0.0,0.04,6.77,0.64,2.03,23.9
Erling Haaland,150000000,21,1.94,Centre-Forward,left,2.32876712328767,Borussia Dortmund,Bundesliga,1.12,0.33,0.94,0.18,0.22,0.15,0.0,0.89,0.72,0.21,0.93,1.12,3.7,1.74,47.1,0.25,0.54,12.7,0.0,0.18,0.22,0.89,0.72,0.2,0.23,0.22,15.66,21.47,73.0,202.88,36.12,9.75,12.47,78.2,4.1,5.55,73.9,0.51,0.94,53.8,0.33,0.21,1.02,0.51,1.02,0.0,1.63,21.47,19.58,1.89,0.0,0.11,5.33,0.25,0.58,0.0,0.0,0.0,0.0,13.96,4.93,2.57,14.47,3.52,1.45,0.11,0.44,15.66,0.11,0.33,1.02,1.12,2.65,1.6,0.0,0.29,0.51,0.22,0.04,0.65,0.36,0.0,0.07,0.15,0.07,0.0,0.33,0.29,0.07,0.15,0.11,0.04,0.15,25.0,0.11,13.02,3.77,29.0,0.33,3.48,9.21,0.58,0.15,0.0,0.44,0.36,0.69,1.41,0.0,34.12,1.63,2.54,14.61,18.6,7.87,32.02,0.83,1.63,51.1,0.94,0.07,18.6,85.58,49.06,3.34,0.98,1.41,2.76,1.12,45.58,24.84,54.5,8.56,0.15,0.0,0.0,0.83,1.34,0.44,0.58,0.36,0.29,0.04,0.0,0.0,3.44,2.21,1.52,59.2
Ermedin Demirovic,7500000,23,1.85,Centre-Forward,right,2.32876712328767,SC Freiburg,Bundesliga,0.23,0.31,0.23,0.0,0.0,0.55,0.0,0.31,0.31,0.13,0.44,0.23,2.34,0.94,40.0,0.1,0.25,13.4,0.0,0.0,0.0,0.31,0.31,0.13,-0.08,-0.08,9.6,15.61,61.5,134.8,33.33,6.24,8.74,71.4,2.26,3.98,56.9,0.78,1.48,52.6,0.31,0.13,0.78,0.47,0.7,0.23,1.09,15.61,14.91,0.7,0.08,0.16,5.54,0.16,0.62,0.0,0.0,0.0,0.0,8.9,3.28,3.43,1.01,11.55,1.48,0.08,0.08,9.6,0.08,0.62,0.62,1.09,1.87,1.09,0.0,0.16,0.31,0.23,0.08,0.62,0.31,0.0,0.0,0.16,0.08,0.08,1.09,0.31,0.31,0.23,0.55,0.08,1.17,6.7,1.09,24.35,6.32,26.0,2.81,10.3,11.24,2.03,0.0,0.0,2.03,0.39,1.48,0.86,0.0,29.51,0.78,3.12,10.85,17.25,4.37,28.8,1.33,2.19,60.7,1.48,0.0,17.88,79.62,41.06,2.19,0.86,0.47,2.65,2.73,40.43,19.2,47.5,6.95,0.55,0.0,0.0,2.89,0.86,0.86,0.62,0.39,0.31,0.08,0.0,0.0,4.45,1.95,4.22,31.6
Ermin Bicakcic,1300000,32,1.85,Centre-Back,right,0.326027397260274,TSG 1899 Hoffenheim,Bundesliga,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.05,0.05,0.03,0.07,0.15,0.61,0.15,25.0,0.25,1.0,10.6,0.0,0.0,0.0,0.05,0.05,0.07,0.11,0.11,53.57,60.31,88.8,1051.07,387.86,19.59,20.59,95.2,26.02,28.09,92.6,7.19,10.33,69.6,0.0,0.03,0.15,2.98,0.31,0.0,4.52,60.31,58.47,1.84,0.84,0.08,8.65,0.92,0.23,0.0,0.0,0.0,0.0,45.46,5.89,8.95,17.07,37.88,2.68,0.99,0.31,53.57,0.0,0.69,0.31,0.69,0.54,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.46,0.61,0.08,0.0,0.38,0.92,41.7,0.54,6.81,2.37,34.8,3.98,2.53,0.31,1.84,0.69,0.0,1.15,0.99,1.68,7.5,0.08,72.7,10.41,38.8,35.43,4.29,0.99,71.17,0.08,0.23,33.3,0.08,0.0,45.31,242.68,136.15,3.14,0.84,0.08,0.23,0.15,52.19,50.59,96.9,0.61,0.0,0.0,0.0,0.61,1.15,0.23,0.23,0.99,0.46,0.0,0.0,0.0,8.88,4.13,1.38,75.0
Ernest Seka,400000,34,1.85,Centre-Back,right,,Without Club,Ligue 1,0.04,0.0,0.04,0.0,0.0,0.17,0.04,0.03,0.03,0.04,0.07,0.04,0.62,0.12,20.0,0.07,0.33,17.9,0.0,0.0,0.0,0.03,0.03,0.05,0.01,0.01,40.87,53.64,76.2,773.64,351.86,15.7,18.8,83.5,19.09,23.55,81.1,5.5,9.55,57.6,0.0,0.04,0.7,3.51,0.62,0.21,4.63,53.64,45.7,7.93,0.29,0.0,6.57,0.58,0.83,0.0,0.0,0.0,0.0,31.94,7.02,14.67,10.87,29.67,4.71,7.64,0.12,40.87,0.08,1.74,1.74,1.28,1.65,1.16,0.17,0.12,0.12,0.08,0.0,0.12,0.08,0.0,0.0,0.04,0.0,0.0,2.31,1.49,1.74,0.41,0.17,0.79,1.9,41.3,1.12,8.22,2.69,32.7,5.41,2.23,0.58,1.74,0.29,0.0,1.45,1.61,3.93,2.6,0.08,64.26,3.88,25.54,30.12,13.22,1.16,56.36,1.16,1.53,75.7,1.24,0.0,35.29,189.63,118.93,4.17,1.57,0.12,0.91,0.83,36.49,34.75,95.2,1.41,0.17,0.04,0.0,1.32,0.41,0.08,0.83,1.61,1.49,0.0,0.0,0.0,11.49,0.87,0.45,65.6
Ernesto Torregrossa,3500000,29,1.84,Centre-Forward,left,0.326027397260274,Pisa Sporting Club,Serie A,0.34,0.15,0.24,0.1,0.1,0.39,0.0,0.36,0.28,0.13,0.42,0.34,2.98,1.02,34.4,0.08,0.24,16.4,0.05,0.1,0.1,0.36,0.28,0.1,-0.02,-0.04,16.2,24.75,65.5,242.13,54.18,9.27,12.49,74.2,4.34,6.93,62.7,1.56,2.64,59.3,0.15,0.13,0.98,0.78,0.83,0.0,1.81,24.75,23.82,0.93,0.39,0.15,6.98,0.78,0.63,0.05,0.0,0.05,0.0,15.33,4.98,4.44,17.72,3.61,1.17,0.15,0.59,16.2,0.15,0.73,0.78,1.37,3.22,1.95,0.15,0.24,0.39,0.49,0.0,0.54,0.34,0.0,0.0,0.2,0.0,0.0,0.73,0.39,0.24,0.39,0.1,0.24,1.27,19.2,1.02,15.47,2.98,19.2,1.9,7.22,6.34,0.83,0.29,0.0,0.54,0.1,0.83,0.93,0.0,41.73,1.32,3.42,19.23,21.96,5.12,40.95,1.71,3.22,53.0,2.0,0.2,30.65,143.2,74.97,3.9,1.17,0.93,3.56,2.68,53.35,33.68,63.1,10.88,0.39,0.0,0.0,2.59,4.44,0.78,0.63,0.1,0.39,0.0,0.0,0.0,3.95,2.59,4.69,35.6
Ervin Zukanovic,450000,35,1.88,Centre-Back,left,0.326027397260274,Fatih Karagümrük,Serie A,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.05,0.05,0.02,0.07,0.0,0.78,0.28,35.3,0.0,0.0,16.7,0.14,0.0,0.0,0.05,0.05,0.06,-0.05,-0.05,38.94,45.83,85.0,787.78,254.71,12.72,13.82,92.0,20.07,21.67,92.6,5.79,9.69,59.7,0.0,0.02,0.32,3.31,0.41,0.23,2.66,45.83,44.17,1.65,1.01,0.0,8.27,1.29,0.69,0.0,0.0,0.0,0.0,31.68,4.68,9.46,36.87,5.05,2.2,0.64,0.18,38.94,0.18,0.51,0.46,0.51,0.83,0.64,0.05,0.0,0.05,0.05,0.05,0.09,0.09,0.0,0.0,0.0,0.0,0.0,1.56,1.01,1.06,0.46,0.05,0.78,1.47,53.1,0.69,7.81,2.34,30.0,4.59,2.94,0.28,1.38,0.6,0.0,0.78,1.15,2.71,4.87,0.0,55.56,6.2,24.11,29.85,6.29,1.1,53.82,0.28,0.37,75.0,0.28,0.0,36.23,188.91,95.23,2.2,0.96,0.0,0.09,0.23,35.54,34.44,96.9,0.6,0.23,0.0,0.0,1.15,0.69,0.0,0.69,1.15,1.01,0.0,0.0,0.0,10.15,1.88,1.1,63.1
Espeto,5000000,24,1.68,Right Winger,right,3.32876712328767,US Lecce,Serie A,0.04,0.09,0.04,0.0,0.0,0.38,0.04,0.1,0.1,0.06,0.15,0.04,2.26,0.47,20.8,0.02,0.09,20.4,0.0,0.0,0.0,0.1,0.1,0.04,-0.06,-0.06,29.0,37.11,78.2,467.96,149.63,16.17,17.83,90.7,9.51,12.63,75.3,2.6,4.56,57.0,0.09,0.06,1.02,1.54,1.02,0.34,2.35,37.11,33.44,3.67,0.34,0.04,8.02,0.73,2.22,0.13,0.0,0.13,0.0,21.63,8.53,6.95,3.16,29.82,0.55,3.2,0.17,29.0,0.0,0.43,0.43,1.66,2.94,1.79,0.04,0.47,0.26,0.21,0.17,0.26,0.09,0.0,0.0,0.09,0.0,0.09,2.86,1.66,1.15,1.24,0.47,1.02,2.35,43.6,1.32,23.97,6.01,25.1,7.17,10.96,5.84,1.88,0.13,0.0,1.75,0.51,3.37,0.94,0.04,52.38,0.94,10.28,22.95,22.82,3.07,48.97,2.26,3.67,61.6,2.35,0.09,39.97,196.55,114.18,6.74,1.92,0.85,1.45,1.83,41.2,34.55,83.9,4.78,0.38,0.04,0.04,2.39,2.82,0.09,2.22,0.51,1.66,0.0,0.0,0.0,6.95,0.43,1.54,21.7
Esteban Burgos,1500000,30,1.91,Centre-Back,right,0.326027397260274,SD Eibar,La Liga,0.24,0.08,0.08,0.16,0.24,0.41,0.0,0.27,0.09,0.01,0.1,0.24,0.24,0.16,66.7,0.33,0.5,18.5,0.0,0.16,0.24,0.27,0.09,0.35,-0.02,-0.01,33.78,44.31,76.2,909.56,225.45,6.16,7.53,81.7,15.39,18.96,81.2,12.07,17.09,70.6,0.08,0.01,0.16,1.86,0.0,0.0,2.19,44.31,42.45,1.86,1.86,0.0,4.13,3.48,0.0,0.0,0.0,0.0,0.0,25.27,5.02,14.01,4.54,32.57,5.35,0.0,0.24,33.78,0.24,1.05,0.24,0.41,0.57,0.49,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.73,0.65,0.41,0.32,0.0,0.24,0.65,37.5,0.41,4.7,2.27,48.3,2.35,2.03,0.32,1.22,0.49,0.0,0.73,0.97,1.7,7.13,0.08,54.76,6.56,26.25,29.89,1.46,0.97,52.66,0.08,0.08,100.0,0.08,0.0,27.22,174.98,87.89,1.46,0.16,0.08,0.0,0.16,29.16,27.95,95.8,0.08,0.41,0.0,0.0,1.22,0.24,0.08,0.0,0.97,0.65,0.0,0.0,0.0,14.26,3.08,2.75,52.8
Ethan Pinnock,10000000,28,1.94,Centre-Back,left,3.32876712328767,Brentford FC,Premier League,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.06,0.06,0.05,0.11,0.04,0.7,0.31,44.4,0.06,0.13,9.0,0.0,0.0,0.0,0.06,0.06,0.08,-0.02,-0.02,39.17,51.5,76.1,792.26,298.82,13.11,15.25,86.0,19.72,24.97,79.0,5.91,10.19,58.0,0.04,0.05,0.39,2.29,0.27,0.12,2.06,51.5,42.98,8.52,1.4,0.0,6.69,0.58,0.93,0.0,0.0,0.0,0.0,27.5,9.37,14.62,32.52,3.66,5.02,7.08,0.08,39.17,0.27,0.58,1.13,0.58,0.66,0.51,0.04,0.0,0.12,0.0,0.0,0.08,0.04,0.0,0.0,0.04,0.0,0.0,2.14,1.32,1.56,0.51,0.08,0.66,1.21,54.8,0.54,8.79,3.07,35.0,5.52,2.68,0.58,1.67,0.43,0.0,1.24,1.91,4.04,6.11,0.0,64.33,10.0,33.88,24.93,7.9,1.98,56.08,0.12,0.23,50.0,0.16,0.0,26.64,135.58,72.3,1.44,0.31,0.0,0.47,0.23,33.06,31.47,95.2,0.39,0.0,0.0,0.0,0.35,0.58,0.04,0.93,1.91,1.32,0.0,0.0,0.0,11.28,5.29,2.53,67.7
Étienne Capoue,2500000,33,1.89,Defensive Midfield,right,1.32602739726027,Villarreal CF,La Liga,0.1,0.08,0.1,0.0,0.0,0.31,0.05,0.05,0.05,0.03,0.09,0.1,0.65,0.28,44.0,0.16,0.36,18.9,0.0,0.0,0.0,0.05,0.05,0.09,0.05,0.05,48.35,53.67,90.1,893.5,213.23,19.82,21.31,93.0,22.81,24.72,92.3,5.26,6.63,79.4,0.08,0.03,0.31,5.08,0.34,0.03,4.31,53.67,52.38,1.29,1.11,0.08,8.18,1.01,0.08,0.0,0.0,0.0,0.0,44.15,4.28,5.24,8.88,41.18,1.96,0.18,0.18,48.35,0.18,0.41,1.19,0.46,1.06,0.75,0.0,0.08,0.05,0.08,0.1,0.13,0.08,0.0,0.0,0.05,0.0,0.0,1.96,1.19,0.9,0.93,0.13,0.59,1.55,38.3,0.95,15.2,4.95,32.6,5.7,7.95,1.55,1.16,0.18,0.0,0.98,1.88,3.84,2.32,0.03,64.15,3.15,15.89,43.25,9.16,0.49,63.06,1.06,1.6,66.1,1.06,0.13,43.25,231.71,109.76,4.52,1.11,0.03,0.83,0.7,48.43,45.8,94.6,0.9,0.31,0.05,0.03,1.83,2.04,0.0,0.08,1.88,1.19,0.0,0.05,0.0,9.01,2.04,1.21,62.7
Éver Banega,3800000,33,1.74,Central Midfield,right,1.32602739726027,Al-Shabab FC (Riyadh),La Liga,0.11,0.25,0.04,0.07,0.07,0.36,0.0,0.11,0.05,0.19,0.24,0.11,1.38,0.29,21.1,0.03,0.13,24.8,0.15,0.07,0.07,0.11,0.05,0.04,0.0,-0.02,70.95,86.29,82.2,1548.25,465.96,26.44,29.49,89.6,28.62,32.47,88.1,15.13,22.07,68.5,0.25,0.19,2.15,9.75,1.2,0.25,8.84,86.29,76.87,9.42,4.65,0.44,12.4,7.02,1.67,4.44,1.53,2.07,0.0,56.4,11.6,18.29,7.67,76.07,1.56,0.33,0.18,70.95,0.58,1.6,1.49,1.96,4.22,2.44,1.35,0.11,0.07,0.22,0.04,0.44,0.25,0.11,0.04,0.0,0.04,0.0,1.85,1.09,0.58,0.87,0.4,0.84,2.47,33.8,1.64,16.44,4.44,27.0,4.62,8.91,2.91,0.73,0.07,0.0,0.65,0.51,2.36,0.4,0.0,95.89,0.91,16.04,60.47,26.29,1.16,87.05,1.67,2.33,71.9,1.75,0.0,71.42,351.53,195.13,9.42,2.44,0.29,1.67,1.75,78.51,73.85,94.1,3.6,0.36,0.0,0.0,1.27,2.29,0.07,1.67,0.51,1.09,0.0,0.0,0.0,9.31,0.55,0.73,42.9
